procs|alg|input|items|utc|ts|duration|func
8|dummy_sort|random|10|14 Jun 2019 21:30:50.907643|1560547850907672|0.00000000|frag
8|dummy_sort|random|10|14 Jun 2019 21:30:50.908161|1560547850908198|0.00000000|rpcpmap
8|dummy_sort|random|10|14 Jun 2019 21:30:50.908569|1560547850908605|0.00000000|merge
8|dummy_sort|random|10|14 Jun 2019 21:30:50.907592|1560547850907634|0.001000|all
8|dummy_sort|random|100|14 Jun 2019 21:30:50.909306|1560547850909334|0.00000000|frag
8|dummy_sort|random|100|14 Jun 2019 21:30:50.909870|1560547850909907|0.00000000|rpcpmap
8|dummy_sort|random|100|14 Jun 2019 21:30:50.910314|1560547850910350|0.00000000|merge
8|dummy_sort|random|100|14 Jun 2019 21:30:50.909257|1560547850909293|0.002000|all
8|dummy_sort|random|1000|14 Jun 2019 21:30:50.911307|1560547850911336|0.00000000|frag
8|dummy_sort|random|1000|14 Jun 2019 21:30:50.912260|1560547850912297|0.00000000|rpcpmap
8|dummy_sort|random|1000|14 Jun 2019 21:30:50.912758|1560547850912796|0.00000000|merge
8|dummy_sort|random|1000|14 Jun 2019 21:30:50.911175|1560547850911212|0.002000|all
8|dummy_sort|random|10000|14 Jun 2019 21:30:50.914205|1560547850914221|0.00000000|frag
8|dummy_sort|random|10000|14 Jun 2019 21:30:50.916810|1560547850916844|0.00200000|rpcpmap
8|dummy_sort|random|10000|14 Jun 2019 21:30:50.918419|1560547850918461|0.00200000|merge
8|dummy_sort|random|10000|14 Jun 2019 21:30:50.913669|1560547850913691|0.005000|all
8|dummy_sort|random|100000|14 Jun 2019 21:30:50.934120|1560547850934165|0.00800000|frag
8|dummy_sort|random|100000|14 Jun 2019 21:30:50.955780|1560547850955827|0.02100000|rpcpmap
8|dummy_sort|random|100000|14 Jun 2019 21:30:50.964646|1560547850964721|0.00900000|merge
8|dummy_sort|random|100000|14 Jun 2019 21:30:50.925340|1560547850925387|0.039000|all
8|dummy_sort|random|1000000|14 Jun 2019 21:30:51.102830|1560547851102887|0.07700000|frag
8|dummy_sort|random|1000000|14 Jun 2019 21:30:51.321067|1560547851321144|0.21700000|rpcpmap
8|dummy_sort|random|1000000|14 Jun 2019 21:30:51.448222|1560547851448261|0.12600000|merge
8|dummy_sort|random|1000000|14 Jun 2019 21:30:51.020307|1560547851020360|0.428000|all
8|quicksort_random|random|10|14 Jun 2019 21:30:52.164273|1560547852164302|0.00000000|frag
8|quicksort_random|random|10|14 Jun 2019 21:30:52.164767|1560547852164804|0.00000000|rpcpmap
8|quicksort_random|random|10|14 Jun 2019 21:30:52.165221|1560547852165257|0.00000000|merge
8|quicksort_random|random|10|14 Jun 2019 21:30:52.164220|1560547852164263|0.002000|all
8|quicksort_random|random|100|14 Jun 2019 21:30:52.166098|1560547852166126|0.00000000|frag
8|quicksort_random|random|100|14 Jun 2019 21:30:52.166923|1560547852166960|0.00000000|rpcpmap
8|quicksort_random|random|100|14 Jun 2019 21:30:52.167337|1560547852167373|0.00100000|merge
8|quicksort_random|random|100|14 Jun 2019 21:30:52.166048|1560547852166085|0.002000|all
8|quicksort_random|random|1000|14 Jun 2019 21:30:52.168276|1560547852168304|0.00000000|frag
8|quicksort_random|random|1000|14 Jun 2019 21:30:52.169830|1560547852169862|0.00100000|rpcpmap
8|quicksort_random|random|1000|14 Jun 2019 21:30:52.170225|1560547852170260|0.00000000|merge
8|quicksort_random|random|1000|14 Jun 2019 21:30:52.168144|1560547852168181|0.003000|all
8|quicksort_random|random|10000|14 Jun 2019 21:30:52.173526|1560547852173575|0.00200000|frag
8|quicksort_random|random|10000|14 Jun 2019 21:30:52.184418|1560547852184476|0.01100000|rpcpmap
8|quicksort_random|random|10000|14 Jun 2019 21:30:52.186379|1560547852186417|0.00200000|merge
8|quicksort_random|random|10000|14 Jun 2019 21:30:52.171887|1560547852171955|0.015000|all
8|quicksort_random|random|100000|14 Jun 2019 21:30:52.202461|1560547852202554|0.00700000|frag
8|quicksort_random|random|100000|14 Jun 2019 21:30:52.313429|1560547852313487|0.11100000|rpcpmap
8|quicksort_random|random|100000|14 Jun 2019 21:30:52.325260|1560547852325306|0.01100000|merge
8|quicksort_random|random|100000|14 Jun 2019 21:30:52.194522|1560547852194564|0.131000|all
8|quicksort_random|random|1000000|14 Jun 2019 21:30:52.492797|1560547852492861|0.09200000|frag
8|quicksort_random|random|1000000|14 Jun 2019 21:30:53.529626|1560547853529681|1.03600000|rpcpmap
8|quicksort_random|random|1000000|14 Jun 2019 21:30:53.642155|1560547853642194|0.11200000|merge
8|quicksort_random|random|1000000|14 Jun 2019 21:30:52.394525|1560547852394607|1.248000|all
7|dummy_sort|random|10|14 Jun 2019 21:30:54.384729|1560547854384751|0.00000000|frag
7|dummy_sort|random|10|14 Jun 2019 21:30:54.385117|1560547854385146|0.00000000|rpcpmap
7|dummy_sort|random|10|14 Jun 2019 21:30:54.385473|1560547854385501|0.00000000|merge
7|dummy_sort|random|10|14 Jun 2019 21:30:54.384687|1560547854384722|0.001000|all
7|dummy_sort|random|100|14 Jun 2019 21:30:54.386028|1560547854386050|0.00000000|frag
7|dummy_sort|random|100|14 Jun 2019 21:30:54.386400|1560547854386428|0.00000000|rpcpmap
7|dummy_sort|random|100|14 Jun 2019 21:30:54.386741|1560547854386769|0.00000000|merge
7|dummy_sort|random|100|14 Jun 2019 21:30:54.385990|1560547854386018|0.001000|all
7|dummy_sort|random|1000|14 Jun 2019 21:30:54.387423|1560547854387446|0.00000000|frag
7|dummy_sort|random|1000|14 Jun 2019 21:30:54.388115|1560547854388134|0.00000000|rpcpmap
7|dummy_sort|random|1000|14 Jun 2019 21:30:54.388424|1560547854388452|0.00000000|merge
7|dummy_sort|random|1000|14 Jun 2019 21:30:54.387319|1560547854387348|0.001000|all
7|dummy_sort|random|10000|14 Jun 2019 21:30:54.389819|1560547854389836|0.00000000|frag
7|dummy_sort|random|10000|14 Jun 2019 21:30:54.392409|1560547854392465|0.00300000|rpcpmap
7|dummy_sort|random|10000|14 Jun 2019 21:30:54.394285|1560547854394337|0.00100000|merge
7|dummy_sort|random|10000|14 Jun 2019 21:30:54.389283|1560547854389305|0.006000|all
7|dummy_sort|random|100000|14 Jun 2019 21:30:54.413170|1560547854413262|0.00900000|frag
7|dummy_sort|random|100000|14 Jun 2019 21:30:54.434743|1560547854434789|0.02100000|rpcpmap
7|dummy_sort|random|100000|14 Jun 2019 21:30:54.442361|1560547854442392|0.00800000|merge
7|dummy_sort|random|100000|14 Jun 2019 21:30:54.402458|1560547854402512|0.040000|all
7|dummy_sort|random|1000000|14 Jun 2019 21:30:54.602148|1560547854602207|0.08900000|frag
7|dummy_sort|random|1000000|14 Jun 2019 21:30:54.832575|1560547854832625|0.23000000|rpcpmap
7|dummy_sort|random|1000000|14 Jun 2019 21:30:54.951978|1560547854952019|0.11900000|merge
7|dummy_sort|random|1000000|14 Jun 2019 21:30:54.507319|1560547854507396|0.445000|all
7|quicksort_random|random|10|14 Jun 2019 21:30:55.676731|1560547855676760|0.00000000|frag
7|quicksort_random|random|10|14 Jun 2019 21:30:55.677161|1560547855677200|0.00000000|rpcpmap
7|quicksort_random|random|10|14 Jun 2019 21:30:55.677437|1560547855677470|0.00000000|merge
7|quicksort_random|random|10|14 Jun 2019 21:30:55.676678|1560547855676723|0.001000|all
7|quicksort_random|random|100|14 Jun 2019 21:30:55.678161|1560547855678187|0.00000000|frag
7|quicksort_random|random|100|14 Jun 2019 21:30:55.678702|1560547855678730|0.00000000|rpcpmap
7|quicksort_random|random|100|14 Jun 2019 21:30:55.678939|1560547855678975|0.00000000|merge
7|quicksort_random|random|100|14 Jun 2019 21:30:55.678115|1560547855678147|0.001000|all
7|quicksort_random|random|1000|14 Jun 2019 21:30:55.679605|1560547855679633|0.00000000|frag
7|quicksort_random|random|1000|14 Jun 2019 21:30:55.681240|1560547855681277|0.00100000|rpcpmap
7|quicksort_random|random|1000|14 Jun 2019 21:30:55.681702|1560547855681726|0.00000000|merge
7|quicksort_random|random|1000|14 Jun 2019 21:30:55.679473|1560547855679509|0.002000|all
7|quicksort_random|random|10000|14 Jun 2019 21:30:55.683375|1560547855683395|0.00100000|frag
7|quicksort_random|random|10000|14 Jun 2019 21:30:55.693668|1560547855693714|0.01000000|rpcpmap
7|quicksort_random|random|10000|14 Jun 2019 21:30:55.694939|1560547855694967|0.00100000|merge
7|quicksort_random|random|10000|14 Jun 2019 21:30:55.682662|1560547855682697|0.012000|all
7|quicksort_random|random|100000|14 Jun 2019 21:30:55.711440|1560547855711494|0.01000000|frag
7|quicksort_random|random|100000|14 Jun 2019 21:30:55.804930|1560547855805010|0.09300000|rpcpmap
7|quicksort_random|random|100000|14 Jun 2019 21:30:55.816547|1560547855816607|0.01200000|merge
7|quicksort_random|random|100000|14 Jun 2019 21:30:55.701096|1560547855701148|0.116000|all
7|quicksort_random|random|1000000|14 Jun 2019 21:30:55.941119|1560547855941154|0.06200000|frag
7|quicksort_random|random|1000000|14 Jun 2019 21:30:57.014146|1560547857014208|1.07200000|rpcpmap
7|quicksort_random|random|1000000|14 Jun 2019 21:30:57.123332|1560547857123374|0.10800000|merge
7|quicksort_random|random|1000000|14 Jun 2019 21:30:55.873602|1560547855873644|1.250000|all
6|dummy_sort|random|10|14 Jun 2019 21:30:57.828421|1560547857828443|0.00000000|frag
6|dummy_sort|random|10|14 Jun 2019 21:30:57.828800|1560547857828828|0.00000000|rpcpmap
6|dummy_sort|random|10|14 Jun 2019 21:30:57.829117|1560547857829143|0.00000000|merge
6|dummy_sort|random|10|14 Jun 2019 21:30:57.828380|1560547857828413|0.001000|all
6|dummy_sort|random|100|14 Jun 2019 21:30:57.829625|1560547857829646|0.00000000|frag
6|dummy_sort|random|100|14 Jun 2019 21:30:57.829969|1560547857829996|0.00000000|rpcpmap
6|dummy_sort|random|100|14 Jun 2019 21:30:57.830301|1560547857830328|0.00000000|merge
6|dummy_sort|random|100|14 Jun 2019 21:30:57.829588|1560547857829616|0.001000|all
6|dummy_sort|random|1000|14 Jun 2019 21:30:57.830970|1560547857830992|0.00000000|frag
6|dummy_sort|random|1000|14 Jun 2019 21:30:57.831638|1560547857831660|0.00100000|rpcpmap
6|dummy_sort|random|1000|14 Jun 2019 21:30:57.831959|1560547857831987|0.00000000|merge
6|dummy_sort|random|1000|14 Jun 2019 21:30:57.830871|1560547857830898|0.001000|all
6|dummy_sort|random|10000|14 Jun 2019 21:30:57.833349|1560547857833368|0.00100000|frag
6|dummy_sort|random|10000|14 Jun 2019 21:30:57.836093|1560547857836123|0.00200000|rpcpmap
6|dummy_sort|random|10000|14 Jun 2019 21:30:57.836990|1560547857837009|0.00000000|merge
6|dummy_sort|random|10000|14 Jun 2019 21:30:57.832826|1560547857832847|0.004000|all
6|dummy_sort|random|100000|14 Jun 2019 21:30:57.847912|1560547857847953|0.00600000|frag
6|dummy_sort|random|100000|14 Jun 2019 21:30:57.868133|1560547857868184|0.02000000|rpcpmap
6|dummy_sort|random|100000|14 Jun 2019 21:30:57.875117|1560547857875152|0.00600000|merge
6|dummy_sort|random|100000|14 Jun 2019 21:30:57.841450|1560547857841484|0.034000|all
6|dummy_sort|random|1000000|14 Jun 2019 21:30:58.017452|1560547858017487|0.08000000|frag
6|dummy_sort|random|1000000|14 Jun 2019 21:30:58.270211|1560547858270272|0.25200000|rpcpmap
6|dummy_sort|random|1000000|14 Jun 2019 21:30:58.378530|1560547858378569|0.10800000|merge
6|dummy_sort|random|1000000|14 Jun 2019 21:30:57.931059|1560547857931856|0.447000|all
6|quicksort_random|random|10|14 Jun 2019 21:30:59.086505|1560547859086535|0.00000000|frag
6|quicksort_random|random|10|14 Jun 2019 21:30:59.086890|1560547859086926|0.00000000|rpcpmap
6|quicksort_random|random|10|14 Jun 2019 21:30:59.087149|1560547859087180|0.00000000|merge
6|quicksort_random|random|10|14 Jun 2019 21:30:59.086456|1560547859086497|0.001000|all
6|quicksort_random|random|100|14 Jun 2019 21:30:59.087709|1560547859087736|0.00000000|frag
6|quicksort_random|random|100|14 Jun 2019 21:30:59.088206|1560547859088231|0.00000000|rpcpmap
6|quicksort_random|random|100|14 Jun 2019 21:30:59.088437|1560547859088468|0.00000000|merge
6|quicksort_random|random|100|14 Jun 2019 21:30:59.087664|1560547859087696|0.001000|all
6|quicksort_random|random|1000|14 Jun 2019 21:30:59.089210|1560547859089230|0.00000000|frag
6|quicksort_random|random|1000|14 Jun 2019 21:30:59.090643|1560547859090673|0.00100000|rpcpmap
6|quicksort_random|random|1000|14 Jun 2019 21:30:59.091103|1560547859091147|0.00000000|merge
6|quicksort_random|random|1000|14 Jun 2019 21:30:59.089114|1560547859089142|0.003000|all
6|quicksort_random|random|10000|14 Jun 2019 21:30:59.094422|1560547859094447|0.00200000|frag
6|quicksort_random|random|10000|14 Jun 2019 21:30:59.107736|1560547859107783|0.01300000|rpcpmap
6|quicksort_random|random|10000|14 Jun 2019 21:30:59.109431|1560547859109473|0.00200000|merge
6|quicksort_random|random|10000|14 Jun 2019 21:30:59.092748|1560547859092784|0.017000|all
6|quicksort_random|random|100000|14 Jun 2019 21:30:59.125462|1560547859125509|0.00800000|frag
6|quicksort_random|random|100000|14 Jun 2019 21:30:59.227471|1560547859227525|0.10200000|rpcpmap
6|quicksort_random|random|100000|14 Jun 2019 21:30:59.239645|1560547859239699|0.01200000|merge
6|quicksort_random|random|100000|14 Jun 2019 21:30:59.117308|1560547859117382|0.122000|all
6|quicksort_random|random|1000000|14 Jun 2019 21:30:59.381186|1560547859381221|0.06900000|frag
6|quicksort_random|random|1000000|14 Jun 2019 21:31:00.557625|1560547860557694|1.17600000|rpcpmap
6|quicksort_random|random|1000000|14 Jun 2019 21:31:00.669906|1560547860669951|0.11200000|merge
6|quicksort_random|random|1000000|14 Jun 2019 21:30:59.308024|1560547859308063|1.362000|all
5|dummy_sort|random|10|14 Jun 2019 21:31:01.384295|1560547861384322|0.00000000|frag
5|dummy_sort|random|10|14 Jun 2019 21:31:01.384733|1560547861384774|0.00000000|rpcpmap
5|dummy_sort|random|10|14 Jun 2019 21:31:01.385095|1560547861385128|0.00000000|merge
5|dummy_sort|random|10|14 Jun 2019 21:31:01.384240|1560547861384288|0.002000|all
5|dummy_sort|random|100|14 Jun 2019 21:31:01.385671|1560547861385700|0.00000000|frag
5|dummy_sort|random|100|14 Jun 2019 21:31:01.386106|1560547861386139|0.00000000|rpcpmap
5|dummy_sort|random|100|14 Jun 2019 21:31:01.386449|1560547861386493|0.00000000|merge
5|dummy_sort|random|100|14 Jun 2019 21:31:01.385624|1560547861385659|0.001000|all
5|dummy_sort|random|1000|14 Jun 2019 21:31:01.387233|1560547861387253|0.00000000|frag
5|dummy_sort|random|1000|14 Jun 2019 21:31:01.387852|1560547861387879|0.00000000|rpcpmap
5|dummy_sort|random|1000|14 Jun 2019 21:31:01.388183|1560547861388209|0.00000000|merge
5|dummy_sort|random|1000|14 Jun 2019 21:31:01.387133|1560547861387167|0.002000|all
5|dummy_sort|random|10000|14 Jun 2019 21:31:01.389710|1560547861389743|0.00100000|frag
5|dummy_sort|random|10000|14 Jun 2019 21:31:01.392753|1560547861392796|0.00300000|rpcpmap
5|dummy_sort|random|10000|14 Jun 2019 21:31:01.394588|1560547861394651|0.00200000|merge
5|dummy_sort|random|10000|14 Jun 2019 21:31:01.389041|1560547861389079|0.006000|all
5|dummy_sort|random|100000|14 Jun 2019 21:31:01.411016|1560547861411057|0.00700000|frag
5|dummy_sort|random|100000|14 Jun 2019 21:31:01.435764|1560547861435843|0.02400000|rpcpmap
5|dummy_sort|random|100000|14 Jun 2019 21:31:01.445114|1560547861445174|0.00900000|merge
5|dummy_sort|random|100000|14 Jun 2019 21:31:01.403247|1560547861403308|0.043000|all
5|dummy_sort|random|1000000|14 Jun 2019 21:31:01.578071|1560547861578107|0.05900000|frag
5|dummy_sort|random|1000000|14 Jun 2019 21:31:01.847226|1560547861847277|0.26800000|rpcpmap
5|dummy_sort|random|1000000|14 Jun 2019 21:31:01.961362|1560547861961401|0.11400000|merge
5|dummy_sort|random|1000000|14 Jun 2019 21:31:01.514676|1560547861514712|0.447000|all
5|quicksort_random|random|10|14 Jun 2019 21:31:02.665316|1560547862665343|0.00000000|frag
5|quicksort_random|random|10|14 Jun 2019 21:31:02.665708|1560547862665744|0.00000000|rpcpmap
5|quicksort_random|random|10|14 Jun 2019 21:31:02.666046|1560547862666077|0.00000000|merge
5|quicksort_random|random|10|14 Jun 2019 21:31:02.665261|1560547862665308|0.002000|all
5|quicksort_random|random|100|14 Jun 2019 21:31:02.666622|1560547862666649|0.00000000|frag
5|quicksort_random|random|100|14 Jun 2019 21:31:02.667189|1560547862667214|0.00000000|rpcpmap
5|quicksort_random|random|100|14 Jun 2019 21:31:02.667497|1560547862667530|0.00000000|merge
5|quicksort_random|random|100|14 Jun 2019 21:31:02.666572|1560547862666607|0.001000|all
5|quicksort_random|random|1000|14 Jun 2019 21:31:02.668303|1560547862668327|0.00000000|frag
5|quicksort_random|random|1000|14 Jun 2019 21:31:02.670025|1560547862670061|0.00100000|rpcpmap
5|quicksort_random|random|1000|14 Jun 2019 21:31:02.670446|1560547862670480|0.00000000|merge
5|quicksort_random|random|1000|14 Jun 2019 21:31:02.668187|1560547862668221|0.003000|all
5|quicksort_random|random|10000|14 Jun 2019 21:31:02.672017|1560547862672038|0.00000000|frag
5|quicksort_random|random|10000|14 Jun 2019 21:31:02.683082|1560547862683135|0.01100000|rpcpmap
5|quicksort_random|random|10000|14 Jun 2019 21:31:02.684740|1560547862684782|0.00100000|merge
5|quicksort_random|random|10000|14 Jun 2019 21:31:02.671387|1560547862671419|0.013000|all
5|quicksort_random|random|100000|14 Jun 2019 21:31:02.702168|1560547862702214|0.00800000|frag
5|quicksort_random|random|100000|14 Jun 2019 21:31:02.828575|1560547862828631|0.12600000|rpcpmap
5|quicksort_random|random|100000|14 Jun 2019 21:31:02.845501|1560547862845573|0.01700000|merge
5|quicksort_random|random|100000|14 Jun 2019 21:31:02.692829|1560547862692895|0.153000|all
5|quicksort_random|random|1000000|14 Jun 2019 21:31:02.994362|1560547862994428|0.07500000|frag
5|quicksort_random|random|1000000|14 Jun 2019 21:31:04.201724|1560547864201772|1.20700000|rpcpmap
5|quicksort_random|random|1000000|14 Jun 2019 21:31:04.334111|1560547864334150|0.13200000|merge
5|quicksort_random|random|1000000|14 Jun 2019 21:31:02.914850|1560547862914912|1.420000|all
4|dummy_sort|random|10|14 Jun 2019 21:31:05.055076|1560547865055103|0.00000000|frag
4|dummy_sort|random|10|14 Jun 2019 21:31:05.055484|1560547865055520|0.00000000|rpcpmap
4|dummy_sort|random|10|14 Jun 2019 21:31:05.055853|1560547865055886|0.00000000|merge
4|dummy_sort|random|10|14 Jun 2019 21:31:05.055021|1560547865055069|0.001000|all
4|dummy_sort|random|100|14 Jun 2019 21:31:05.056516|1560547865056543|0.00000000|frag
4|dummy_sort|random|100|14 Jun 2019 21:31:05.056937|1560547865056969|0.00000000|rpcpmap
4|dummy_sort|random|100|14 Jun 2019 21:31:05.057204|1560547865057235|0.00000000|merge
4|dummy_sort|random|100|14 Jun 2019 21:31:05.056472|1560547865056504|0.001000|all
4|dummy_sort|random|1000|14 Jun 2019 21:31:05.057880|1560547865057910|0.00000000|frag
4|dummy_sort|random|1000|14 Jun 2019 21:31:05.058557|1560547865058580|0.00100000|rpcpmap
4|dummy_sort|random|1000|14 Jun 2019 21:31:05.058870|1560547865058901|0.00000000|merge
4|dummy_sort|random|1000|14 Jun 2019 21:31:05.057768|1560547865057802|0.001000|all
